date,clade_samples,total_samples,Nextstrain_clade,clade_pct,diff_log,nonvar_diff_log
2022-06-04,3,35,22A (Omicron),0.08571428571428572,-0.6931471805599452,-0.18829761501208866
2022-06-04,2,35,22B (Omicron),0.05714285714285714,0.6931471805599453,-0.6503957353853855
2022-06-04,21,35,22C (Omicron),0.6,-0.5108256237659905,-0.24907146727674023
2022-06-05,10,49,21L (Omicron),0.20408163265306123,0.10536051565782634,0.5696892511276471
2022-06-05,4,49,22A (Omicron),0.08163265306122448,0.2876820724517808,0.5089153988629956
2022-06-05,6,49,22B (Omicron),0.12244897959183672,1.0986122886681096,0.23860532679088609
2022-06-05,29,49,22C (Omicron),0.5918367346938775,0.32277339226305113,0.4972182922592389
2022-06-06,10,54,21L (Omicron),0.18518518518518515,0,0.0019102249029948986
2022-06-06,5,54,22A (Omicron),0.0925925925925926,0.2231435513142097,-0.07247095886840833
2022-06-06,4,54,22B (Omicron),0.07407407407407407,-0.4054651081081644,0.1370652609390497
2022-06-06,35,54,22C (Omicron),0.6481481481481481,0.18805223150293937,-0.06077385226465156
2022-06-07,9,49,21L (Omicron),0.1836734693877551,-0.10536051565782634,-0.07438118377140313
2022-06-07,10,49,22A (Omicron),0.20408163265306123,0.6931471805599456,-0.3405504158439938
2022-06-07,2,49,22B (Omicron),0.04081632653061224,-0.6931471805599453,0.12154770452930319
2022-06-07,28,49,22C (Omicron),0.5714285714285714,-0.2231435513142097,-0.035120171885942
2022-06-08,3,34,21L (Omicron),0.08823529411764706,-1.0986122886681098,-0.45270782805106474
2022-06-08,1,34,22A (Omicron),0.02941176470588235,-2.302585092994046,-0.05138355994241935
2022-06-08,6,34,22B (Omicron),0.17647058823529413,1.0986122886681096,-1.1851160204964712
2022-06-08,24,34,22C (Omicron),0.7058823529411765,-0.15415067982725805,-0.7675283643313486
2022-06-09,3,52,21L (Omicron),0.05769230769230769,0,0.9872769072927698
2022-06-09,8,52,22A (Omicron),0.15384615384615383,2.0794415416798357,0.2941297267328246
2022-06-09,12,52,22B (Omicron),0.2307692307692308,0.6931471805599454,0.7562278471061213
2022-06-09,29,52,22C (Omicron),0.5576923076923077,0.1892419996385284,0.9241962407465937
2022-06-10,2,33,21L (Omicron),0.06060606060606061,-0.4054651081081645,-0.5200107247408178
2022-06-10,3,33,22A (Omicron),0.09090909090909093,-0.980829253011726,-0.3282226764396307
2022-06-10,13,33,22B (Omicron),0.3939393939393939,0.08004270767353638,-0.6818466633347181
2022-06-10,15,33,22C (Omicron),0.4545454545454546,-0.6592456288842641,-0.43541721781545134
2022-06-11,4,21,21L (Omicron),0.1904761904761905,0.6931471805599453,-0.9026834003674034
2022-06-11,1,21,22A (Omicron),0.04761904761904761,-1.0986122886681098,-0.30543024395805163
2022-06-11,3,21,22B (Omicron),0.14285714285714285,-1.466337068793427,-0.18285531724961257
2022-06-11,13,21,22C (Omicron),0.6190476190476191,-0.14310084364067333,-0.6239340589671971
2022-06-12,3,29,21L (Omicron),0.10344827586206896,-0.2876820724517808,0.41636441320213513
2022-06-12,1,29,22A (Omicron),0.03448275862068965,0,0.3204703890515415
2022-06-12,8,29,22B (Omicron),0.27586206896551724,0.980829253011726,-0.006472695285700454
2022-06-12,17,29,22C (Omicron),0.5862068965517241,0.2682639865946794,0.2310490601866484
2022-06-13,10,82,21L (Omicron),0.12195121951219512,1.2039728043259361,1.275360191875807
2022-06-13,6,82,22A (Omicron),0.07317073170731707,1.791759469228055,1.0794313035751009
2022-06-13,26,82,22B (Omicron),0.3170731707317073,1.1786549963416464,1.2837994612039036
2022-06-13,40,82,22C (Omicron),0.4878048780487805,0.8556661100577201,1.391462423298546
2022-06-14,3,26,21L (Omicron),0.1153846153846154,-1.2039728043259361,-0.9738747671334232
2022-06-14,4,26,22A (Omicron),0.15384615384615383,-0.4054651081081644,-1.2400439992060137
2022-06-14,7,26,22B (Omicron),0.2692307692307692,-1.312186388966169,-0.9378035722533454
2022-06-14,12,26,22C (Omicron),0.4615384615384616,-1.203972804325936,-0.9738747671334232
2022-06-15,7,56,21L (Omicron),0.125,0.8472978603872034,0.7769186566535807
2022-06-15,9,56,22A (Omicron),0.16071428571428573,0.810930216216329,0.789041204710539
2022-06-15,16,56,22B (Omicron),0.2857142857142857,0.8266785731844679,0.7837917523878261
2022-06-15,24,56,22C (Omicron),0.42857142857142855,0.6931471805599454,0.8283022165960001
2022-06-16,13,69,21L (Omicron),0.18840579710144928,0.6190392084062235,0.055785887828552316
2022-06-16,8,69,22A (Omicron),0.11594202898550723,-0.11778303565638382,0.23999144884420415
2022-06-16,20,69,22B (Omicron),0.2898550724637681,0.2231435513142097,0.15475980210155577
2022-06-16,27,69,22C (Omicron),0.391304347826087,0.11778303565638337,0.18109993101601235
2022-06-16,1,69,recombinant,0.0144927536231884,0,0.2105456899301082
2022-06-17,1,50,21L (Omicron),0.02,-2.5649493574615367,-0.06282860707022642
2022-06-17,10,50,22A (Omicron),0.2,0.22314355131421015,-0.7598518342641631
2022-06-17,14,50,22B (Omicron),0.28,-0.35667494393873245,-0.6148972104509275
2022-06-17,24,50,22C (Omicron),0.48,-0.11778303565638337,-0.6746201875215148
2022-06-17,1,50,recombinant,0.02,0,-0.7040659464356106
2022-06-18,4,30,21L (Omicron),0.13333333333333333,1.3862943611198906,-0.6475667913614567
2022-06-18,2,30,22A (Omicron),0.06666666666666667,-1.6094379124341005,0.1013662770270411
2022-06-18,9,30,22B (Omicron),0.3,-0.44183275227903884,-0.19053501301172432
2022-06-18,14,30,22C (Omicron),0.4666666666666667,-0.5389965007326873,-0.1662440758983122
2022-06-18,1,30,recombinant,0.03333333333333333,0,-0.30099320108148403
2022-06-19,3,34,21L (Omicron),0.08823529411764706,-0.2876820724517808,0.26676393933709114
2022-06-19,3,34,22A (Omicron),0.08823529411764706,0.4054651081081645,0.03571487915044269
2022-06-19,11,34,22B (Omicron),0.3235294117647059,0.2006706954621511,0.10397968336578049
2022-06-19,17,34,22C (Omicron),0.5,0.19415601444095776,0.10615124370617827
2022-06-20,14,68,21L (Omicron),0.2058823529411765,1.5404450409471486,0.7412037775031379
2022-06-20,12,68,22A (Omicron),0.17647058823529413,1.3862943611198906,0.7925873374455573
2022-06-20,18,68,22B (Omicron),0.2647058823529412,0.49247648509779385,1.090526629452923
2022-06-20,24,68,22C (Omicron),0.35294117647058826,0.3448404862917296,1.1397386290549443
2022-06-21,6,61,21L (Omicron),0.09836065573770492,-0.8472978603872034,-0.07437595268757019
2022-06-21,7,61,22A (Omicron),0.11475409836065574,-0.5389965007326871,-0.15145129260119927
2022-06-21,22,61,22B (Omicron),0.3606557377049181,0.20067069546215155,-0.33636809164990894
2022-06-21,25,61,22C (Omicron),0.4098360655737705,0.04082199452025481,-0.29640591641443476
2022-06-21,1,61,recombinant,0.01639344262295082,0,-0.28620041778437105
2022-06-22,7,66,21L (Omicron),0.10606060606060606,0.15415067982725827,0.1263825999302636
2022-06-22,9,66,22A (Omicron),0.13636363636363635,0.25131442828090633,0.09399468377904759
2022-06-22,25,66,22B (Omicron),0.3787878787878788,0.1278333715098845,0.13515503603605486
2022-06-22,25,66,22C (Omicron),0.3787878787878788,0,0.17776615987268304
2022-06-23,3,92,21L (Omicron),0.03260869565217391,-0.8472978603872034,0.40741931364868167
2022-06-23,14,92,22A (Omicron),0.15217391304347827,0.44183275227903884,-0.022290890573399096
2022-06-23,31,92,22B (Omicron),0.33695652173913043,0.2151113796169457,0.053282900313965285
2022-06-23,44,92,22C (Omicron),0.4782608695652174,0.5653138090500605,-0.0634512428304063
2022-06-24,16,151,21L (Omicron),0.10596026490066224,1.6739764335716714,0.4214749694144038
2022-06-24,23,151,22A (Omicron),0.152317880794702,0.49643688631389127,0.8139881518336639
2022-06-24,70,151,22B (Omicron),0.4635761589403974,0.8145080375642131,0.7079644347502233
2022-06-24,42,151,22C (Omicron),0.2781456953642384,-0.04652001563489261,0.9949737858165918
2022-06-25,13,100,21L (Omicron),0.13,-0.2076393647782444,-0.5314887515113779
2022-06-25,11,100,22A (Omicron),0.11,-0.737598943130779,-0.35483555872719963
2022-06-25,52,100,22B (Omicron),0.52,-0.2972515234679318,-0.5016180319481487
2022-06-25,24,100,22C (Omicron),0.24,-0.5596157879354227,-0.41416327712565176
2022-06-26,2,43,21L (Omicron),0.04651162790697674,-1.8718021769015913,-0.6382853281866662
2022-06-26,7,43,22A (Omicron),0.16279069767441862,-0.45198512374305744,-1.111557679239511
2022-06-26,17,43,22B (Omicron),0.3953488372093023,-1.1180303745252114,-0.8895425956454596
2022-06-26,17,43,22C (Omicron),0.3953488372093023,-0.3448404862917296,-1.1472725583899535
2022-06-27,5,62,21L (Omicron),0.08064516129032258,0.916290731874155,0.014351269219468943
2022-06-27,3,62,22A (Omicron),0.04838709677419355,-0.8472978603872034,0.6022141333065885
2022-06-27,32,62,22B (Omicron),0.5161290322580645,0.6325225587435104,0.10894066026301714
2022-06-27,22,62,22C (Omicron),0.3548387096774194,0.2578291093020999,0.23383847674348732
2022-06-28,4,57,21L (Omicron),0.07017543859649122,-0.2231435513142097,0.13515503603605464
2022-06-28,8,57,22A (Omicron),0.14035087719298245,0.980829253011726,-0.2661692320725906
2022-06-28,33,57,22B (Omicron),0.5789473684210527,0.030771658666753687,0.050516632709066846
2022-06-28,12,57,22C (Omicron),0.21052631578947367,-0.6061358035703157,0.26281912012142333
